itemNumber,price
143844588,17.99
143844148,30.99
143844127,29.99
143843852,31.99
143843289,51.99
143843214,42.99
143842959,33.99
143842918,16.99
143842867,22.99
143842812,31.99
143842768,32.99
143841564,29.99
143841159,40.99
143840123,32.99
143839817,61.99
143839729,47.99
143839440,37.99
143839410,43.99
143839368,27.99
143839194,20.99
143839122,44.99
143839062,37.99
143838403,11.99
143838342,49.99
143838246,17.99
143837751,16.99
143837552,36.99
143837248,22.99
143837139,24.99
143837118,22.99
143836857,79.99
143836443,17.99
143836193,22.99
143835599,23.99
143835153,24.99
143834261,28.99
143834005,27.99
143833679,23.99
143833496,54.99
143833473,49.99
143833445,42.99
143833251,54.99
143833032,19.99
143832553,22.99
143832425,30.99
143832218,21.99
143832024,64.99
143831969,19.99
143831054,24.99
143829034,28.99
143828911,44.99
143828007,52.99
143827108,49.99
143821171,11.99
143821120,16.99
143821070,17.99
143819942,30.99
143801163,18.99
143793592,44.99
143793582,46.99
143793540,36.99
143793526,46.99
143793503,44.99
143772269,46.99
143771477,60.99
143761031,46.99
143745385,27.99
143684680,75.99
143680277,22.99
143680193,56.99
143679976,54.99
143678499,29.99
143651688,25.99
143627606,24.99
143627089,52.99
143591342,30.99
143591048,26.99
143590952,38.99
143590845,23.99
143533249,52.99
143532327,109.99
143311629,66.99
143311587,32.99
143311447,53.99
143305923,24.99
143303962,23.99
143301078,20.99
143299500,20.99
143297186,26.99
143296314,29.99
143296055,19.99
143296027,19.99
143295959,45.99
143295884,27.99
143295766,38.99
143295673,20.99
143295202,28.99
143294989,25.99
143294704,22.99
143294253,37.99
143292890,41.99
143292492,20.99
143292055,31.99
143291503,31.99
143291118,35.99
143251864,31.99
143249449,27.99
143248935,19.99
143247836,33.99
143244399,36.99
143243079,23.99
143242989,19.99
143242364,36.99
143241964,24.99
143241136,21.99
143240238,22.99
143239965,19.99
143236430,33.99
143235162,24.99
143230741,16.99
143229091,20.99
143226935,67.99
143225593,27.99
143225561,26.99
143222719,17.99
143219888,27.99
143218861,34.99
143217564,22.99
143216157,28.99
143216080,39.99
143215414,21.99
143212630,18.99
143211583,27.99
143210128,28.99
143210062,20.99
143208959,30.99
143203078,98.99
143200354,16.99
143160313,22.99
143159835,25.99
143155761,31.99
143155646,37.99
143155616,36.99
143152581,20.99
143152459,30.99
143152415,19.99
143152369,28.99
143152274,31.99
143152145,57.99
143149402,26.99
143148032,53.99
143145177,25.99
143143733,39.99
143143541,60.99
143140941,26.99
143139059,18.99
143138888,28.99
143138235,22.99
143138000,33.99
143137910,22.99
143136952,19.99
143131842,49.99
143131379,53.99
143131298,57.99
143130487,45.99
143130410,16.99
143130189,63.99
143128963,53.99
143128902,61.99
143127845,19.99
143126618,17.99
143126373,50.99
143126087,36.99
143125943,24.99
143125237,21.99
143125177,20.99
143122584,23.99
143122284,33.99
143122235,29.99
143121331,36.99
143121293,27.99
143121036,44.99
143120913,25.99
143120866,23.99
143119805,42.99
143073705,66.99
143072901,21.99
143071978,29.99
143071827,24.99
143071699,25.99
143071591,24.99
143071117,23.99
143070972,26.99
143066558,47.99
143065954,23.99
143065817,46.99
143062598,30.99
143059658,18.99
143059308,48.99
143056924,32.99
143054306,51.99
143053732,48.99
143053081,20.99
143052683,38.99
143047504,34.99
143046911,28.99
143043262,43.99
143040781,45.99
143040310,26.99
143036364,31.99
143035374,46.99
142879349,29.99
142872042,26.99
142867333,44.99
142863188,50.99
142820316,42.99
142819984,22.99
142814204,23.99
142814096,22.99
142812192,28.99
142805509,35.99
142803323,22.99
142793430,27.99
142788679,21.99
142782590,36.99
142727274,33.99
143832757,21.99
143828362,33.99
143828346,11.99
143827862,43.99
143826016,37.99
143818526,19.99
143815968,49.99
143783679,30.99
143671505,46.99
143645456,26.99
143645336,26.99
143645269,28.99
143645216,25.99
143645141,28.99
143645090,22.99
143635871,30.99
143635783,38.99
143635650,39.99
143537675,29.99
143537553,17.99
143537468,52.99
143533385,60.99
143312498,47.99
143311989,28.99
143306625,37.99
143305212,24.99
143305085,29.99
143304125,29.99
143304003,21.99
143303307,21.99
143302812,37.99
143297075,40.99
143296983,44.99
143296795,24.99
143296362,21.99
143295922,48.99
143295751,37.99
143295723,22.99
143295466,39.99
143295434,31.99
143294032,39.99
143293827,27.99
143292395,58.99
143291786,25.99
143251166,31.99
143250416,26.99
143249548,56.99
143246961,42.99
143246439,30.99
143244183,26.99
143243423,56.99
143242574,22.99
143242319,23.99
143242033,29.99
143240826,32.99
143239903,21.99
143229340,23.99
143228900,36.99
143227089,34.99
143226344,29.99
143225716,24.99
143223289,34.99
143222824,23.99
143222523,23.99
143221608,26.99
143219383,28.99
143216137,35.99
143215162,42.99
143213911,34.99
143213374,10.99
143211294,34.99
143210941,19.99
143209502,28.99
143209153,26.99
143160760,18.99
143159266,40.99
143158455,24.99
143158412,22.99
143158382,21.99
143157894,18.99
143157787,28.99
143157262,18.99
143156873,66.99
143155520,26.99
143152056,40.99
143151767,25.99
143151760,28.99
143151335,46.99
143151210,19.99
143151113,18.99
143148933,43.99
143148566,26.99
143145478,37.99
143144464,36.99
143144075,47.99
143143436,45.99
143143375,46.99
143142184,28.99
143139445,42.99
143139287,36.99
143138090,26.99
143137862,33.99
143135976,39.99
143135939,21.99
143135270,15.99
143132412,35.99
143129836,32.99
143127797,18.99
143126382,33.99
143125823,37.99
143121388,18.99
143120776,22.99
143074197,17.99
143069909,20.99
143065904,41.99
143051522,51.99
143041795,48.99
142987765,26.99
142963935,38.99
142892659,25.99
142878041,45.99
142873932,26.99
142870441,29.99
142865574,23.99
142819959,41.99
142811807,23.99
142807630,42.99
142805711,23.99
142798649,28.99
142789243,28.99
142784982,21.99
143809896,22.99
143794510,56.99
143794484,22.99
143794464,17.99
143794443,26.99
143794419,33.99
143794392,23.99
143679999,51.99
143242565,46.99
143238734,62.99
143236124,34.99
143235624,27.99
143233243,24.99
143222535,34.99
143221764,66.99
143209787,26.99
143159911,40.99
143159027,57.99
143152978,18.99
143152842,27.99
143152221,29.99
143151916,31.99
143151664,44.99
143150368,46.99
143149256,21.99
143148724,43.99
143139740,24.99
143139246,22.99
143136830,43.99
143127557,19.99
143124971,18.99
143121710,20.99
143072173,27.99
143069175,21.99
143057592,26.99
143057267,31.99
143056287,27.99
143054507,45.99
143050197,48.99
143045931,24.99
143045657,25.99
143041986,25.99
143037397,44.99
143036946,42.99
143036450,29.99
142988205,35.99
142889345,16.99
142883844,41.99
142880563,23.99
142880507,39.99
142880224,22.99
142879591,42.99
142877325,24.99
142874730,44.99
142874683,27.99
142867116,31.99
142867026,41.99
142866538,45.99
142735425,28.99
143822570,25.99
143809510,56.99
143795446,24.99
143793465,26.99
143793386,27.99
143792624,26.99
143766707,23.99
143766604,28.99
143759886,18.99
143759673,25.99
143682524,29.99
143642783,26.99
143592458,25.99
143592395,32.99
143591748,24.99
143510518,43.99
143510199,47.99
143295048,25.99
143251172,24.99
143226003,24.99
143225287,25.99
143219084,28.99
143216672,22.99
143216232,32.99
143213874,20.99
143213190,29.99
143212151,22.99
